# csv2chart.title=Multiple Eval vs. Single Compile + Multiple Eval
n, Multi Eval, Compile Multi Eval
370, 2.4394302, 2.2368816
371, 2.5731981, 2.6828675
372, 2.7394403, 2.4683882
373, 2.8637663, 2.2772176
374, 2.6599933, 2.2775334999999997
375, 2.5801116, 2.3032126
376, 2.471904, 2.2674201
377, 2.4176621000000003, 2.7766155
378, 2.8987689, 2.285277
379, 2.3431534, 2.2106892
380, 2.3247831000000003, 2.2483385
381, 2.5645856, 2.2154297
382, 2.4588671, 2.1165062
383, 2.4494251, 2.2081606000000003
384, 2.3309065, 2.5243289
385, 2.3166843, 2.2607827
386, 2.3043979, 2.2381063
387, 2.3698596, 2.1281606
388, 2.4302647, 2.0762099
389, 2.4523091, 2.2398051
390, 2.3866102000000002, 2.2550149999999998
391, 2.3823434, 2.3676869
392, 2.4600917, 2.2905707
393, 2.3968819, 2.1426594000000003
394, 2.5564869999999997, 2.1369705
395, 2.5176918, 2.3302348
396, 2.442709, 2.3583632000000003
397, 2.9126356, 2.3042398
398, 2.4999535, 2.2156669
399, 2.5136623, 2.2109655
400, 2.6665909, 2.455193
401, 2.5054845, 2.432319
402, 2.6864626, 2.4249706
403, 2.7550453, 2.2405557000000003
404, 2.5782945, 2.2532372
405, 2.4107486000000002, 2.309178
406, 2.3711238000000003, 2.3121409
407, 2.4561411, 2.1504816
408, 2.4668869, 2.1529705
409, 2.4795683, 2.2799435
410, 2.4734449, 3.0360529
411, 2.9400528, 2.5695637000000002
412, 2.7423241999999997, 2.3730596
413, 2.7008821999999997, 2.3420077
414, 2.4586696, 2.388783
415, 2.4770005, 2.5059584999999998
416, 2.598798, 2.9638752
417, 2.7879145000000003, 2.5351141
418, 2.4831636, 2.445356
419, 2.5875387, 2.2448223
420, 2.601129, 2.3037655
421, 2.5946895000000003, 2.3633411
422, 2.6058303, 2.4490301
423, 2.6066598, 2.2603484000000003
424, 2.7650799, 2.4328325
425, 3.3622163, 2.8786996
426, 2.8380082, 2.7463143
427, 2.7953416, 2.4091289
428, 2.8293565000000003, 2.6775339
429, 3.5326068, 3.6624636
430, 3.3739893000000003, 2.9805862999999997
431, 3.6289228000000002, 3.0471146
432, 3.3202212, 3.5702167000000005
433, 4.9485492, 4.1345233
434, 3.6850613, 2.8098799
435, 3.7470069, 2.928122
436, 2.9474009, 2.8953318
437, 3.184873, 2.4936721
438, 2.8490305, 2.8182946
439, 3.2672828000000003, 2.4747487
440, 2.7378205, 2.2851187
441, 2.8082205, 2.62025
442, 2.6703043, 2.379341
443, 2.9811788, 2.3257312
444, 2.9318355, 2.6572675
445, 3.3106212, 3.0869766
446, 3.0840135, 2.6966156999999997
447, 3.0123097000000003, 2.9253961
448, 2.9544726, 2.9181665
449, 2.8894849000000002, 3.0354209
450, 4.2682127, 3.4148386000000004
451, 3.3655349, 2.9074998
452, 3.2339398000000004, 3.070621
453, 2.8694949000000003, 2.8823737
454, 2.8629368, 3.1341469
455, 2.9298998999999997, 2.7811589000000003
456, 3.3893174999999998, 5.387897799999999
457, 4.1733581, 3.4982362
458, 3.1965272, 4.1722517
459, 3.2962408000000005, 2.6501165
460, 2.8312133, 3.0166553
461, 3.3530113999999998, 2.8546404
462, 3.1370705, 2.5638351
463, 3.007727, 2.6468375
464, 3.2019395000000004, 2.8323983
465, 3.0393319, 3.5491596999999997
466, 3.0363689999999997, 2.7011191
467, 3.3378408999999998, 3.1166062
468, 3.2119346, 3.6634906999999997
469, 4.1704740000000005, 3.9229279
470, 4.4158077, 4.8628205
471, 6.8073168, 4.509872
472, 4.0267504, 3.1973569
473, 3.0950753, 2.7385317000000002
474, 6.610220099999999, 7.5984286999999995
475, 4.1771113, 4.1637976000000005
476, 3.8525278999999997, 3.043085
477, 3.0868579, 3.0107295
478, 2.7938798, 2.6524475
479, 3.0063047999999997, 3.8908490999999996
480, 5.7986438, 5.1631073
481, 3.6662165, 3.1119838
482, 3.5911944, 3.3827596
483, 3.5808042, 2.8348874
484, 2.8643194999999997, 2.5764375999999998
485, 3.1284977, 2.6838550000000003
486, 2.9865911, 2.6670649
487, 2.8497021, 2.680497
488, 2.9138603, 2.5462152
489, 2.9392233, 2.5788474999999997
490, 2.9639146, 2.7333563
491, 2.8485169, 2.921011
492, 3.005238, 2.5991931
493, 3.0191443, 2.5186006
494, 2.9255936, 2.7316576
495, 2.9004676, 2.7301960000000003
496, 2.8766848, 2.6657613000000002
497, 3.2278160999999996, 3.1708876
498, 3.4848039999999996, 3.5855449999999998
499, 2.8840332, 2.8269861
500, 3.1085469, 2.6323388999999997
501, 3.0385815000000003, 2.7005662
502, 4.6205684, 3.0064627
503, 2.9619392, 2.7710452
504, 3.0996185, 2.6688427
505, 3.0374752000000003, 2.6391736000000003
506, 3.0058305, 2.7534651
507, 2.8615144999999997, 2.9295442
508, 3.5640932999999997, 3.2064433
509, 3.4966558, 3.1605765000000003
510, 3.8125082999999997, 2.9875789
511, 3.1569024, 2.7724675999999997
512, 3.5395595999999996, 3.0888332
513, 3.5233621, 3.6759748
514, 4.020231900000001, 3.3057619000000003
515, 3.2033617999999997, 2.9719344
516, 3.1437073, 2.8067194
517, 2.9415146, 2.9040627
